Topic,Sub-lesson,Sample Questions,"Revised Sample Question- Suggested by Nisha, Tavisha, Diksha, Khadija",Templates
Reading: Informational Text,Picture Clues vs. Written Words,"MCQ with images 

Question:
The words say, “The penguin slides on its belly across the ice.”
Choose the picture that matches what the text says.

Options:
image_placeholder [penguin sliding on belly] (Correct Answer)
image_placeholder [penguin flying in the sky]*

Justification:
The correct answer is [penguin sliding on belly] because that’s what the words say. Penguins don’t fly.

INTERACTIVE MATCHING

Question:
""Match each type of information to where we find it.""

Group A:
Picture
Text

Group B:
image_placeholder [elephant with big ears] (Correct Answer for Picture)
image_placeholder [Elephants live in herds and use their trunks to drink water.] (Correct Answer for Text)

Justification:
This matching helps students see that the picture shows what an elephant looks like, and the text tells us what elephants do and where they live

Audio Options with Text

Question:
""Listen to the word and choose the correct picture.""

voice_placeholder [firefighter]

Options:
image_placeholder [firefighter] (Correct Answer)
image_placeholder [teacher]

Justification:
The correct answer is [firefighter] because it matches the word spoken in the audio.","MCQ with images 

Question:
The words say, “The penguin slides on its belly across the ice.”
Choose the picture that matches what the text says.

Options:
image_placeholder [penguin sliding on belly] (Correct Answer)
image_placeholder [penguin flying in the sky]*

Justification:
Yay! The picture shows the penguin sliding on the ice!
Oops! The pictture shows the penguin flying, not sliding on its belly. 


INTERACTIVE MATCHING
Match each picture to what we learn from it.
Group A (Types of Information):
        •        What we see
        •        What we read

Group B (Images only):
        •         Image of an elephant with big ears (Correct for “What we see”)
        •        Image of text: “Elephants live in herds and use their trunks to drink water.” (Correct for “What we read”)

Justification: 
Yay! Pictures help us see what things look like. Text helps us learn facts or information.
Oops! Pictures show us how something looks. Text gives us written information.

Audio Options with Text

Question:
""Listen to the word and choose the correct word.""

voice_placeholder [firefighter]

Options:
firefighter (Correct Answer)
teacher

Justification:
Yay! You heard “firefighter” and picked the word that matches.
Oops! That word does not match what you heard. Try listening carefully again.","Interactive Matching, Audio Options plus Images, MCQ Options as Images"
Reading: Informational Text,Use Pictures to Find Key Ideas,"Interactive Matching

Question:
""Match the picture to the idea it shows.""

Group A:
The sun gives light
Rain helps plants grow

Group B:
image_placeholder [sun shining on trees] (Correct Answer for: The sun gives light)
image_placeholder [rain falling on flowers] (Correct Answer for: Rain helps plants grow)

Justification:
The sun gives light and rain helps plants grow.

Multiple Choice with Audio 

Question:
""Listen to the sentence and choose the picture that matches.""

voice_placeholder [Bees fly from flower to flower to collect pollen.]

Options:
image_placeholder [bee flying near flowers] (Correct Answer)
image_placeholder [bee sleeping in a hive]

Justification:
The correct answer is [bee flying near flowers] because the audio says the bee is flying to collect pollen, not resting.

MCQ with Images 

Question:
Look at the pictures. Which one shows how plants grow?

Options:
image_placeholder [plant with roots, stem, leaves, and flower] (Correct Answer)
image_placeholder [shovel and watering can]

Justification:
The correct answer is [plant with roots, stem, leaves, and flower], because it shows how a plant grows. [shovel and watering can] are tools.","Interactive Matching

Question:
""Match the picture to the idea it shows.""

Group A:
The sun gives light
Rain helps plants grow

Group B:
image_placeholder [sun shining on trees] (Correct Answer for: The sun gives light)
image_placeholder [rain falling on flowers] (Correct Answer for: Rain helps plants grow)

Justification:
Yay! Each picture matches the correct idea.
Oops! The pictures and ideas don’t match. Try again and look for clues in the pictures.

Multiple Choice with Audio 

Question:
Listen to the sentence and choose the word that matches the idea.

[voice placeholde: “The sun gives us light during the day.”]
Options:
sun  (Correct Answer)
moon

Justification:
Yay! The sentence says the sun gives us light during the day.
Oops! The moon comes out at night, not during the day.


MCQ with Images 

Question:
Look at the pictures. Which one shows how plants grow?

Options:
image_placeholder [plant with roots, stem, leaves, and flower] (Correct Answer)
image_placeholder [shovel and watering can]

Justification:
Yay! The plant has roots, a stem, leaves, and a flower. That shows how it grows!
Oops! The shovel and watering can are tools, not parts of a plant.","Interactive Matching, MCQ Options as Images, Audio Options plus Images"
Reading: Informational Text,Author’s Reasons & Ideas,"True/False 

Wearing a helmet keeps your head safe. That is why authors say to wear one when biking.

Helmets don’t help at all.
/a/ True
/b/ False
Justification:
The correct answer is /b/ False because the reason the author gives is that helmets keep your head safe..

MCQ with two options

Reading every day helps you learn new words.
Why does the author say reading is helpful?
/a/ It helps you learn new words (Correct Answer)
/b/ It helps you fall asleep

Justification:
The correct answer is /a/ It helps you learn new words because that supports the author’s point about why reading is helpful.

Sorting Question

The Author’s Toolbox is messy! Can you help sort the points and reasons?

Put the sentences in the right box:
Sentences: We should eat healthy food, Healthy food gives us energy, Exercise is important.
Points: We should eat healthy food, Exercise is important
Reasons: Healthy food gives us energy, Exercise keeps our bodies strong

Justification:
The first sentence in each pair is the author’s point and the second sentence is a reason that tells why the point is true.",,"True / False, MCQ with two options, Sorting, MCQ With Passage"
Reading: Informational Text,Compare Nonfiction Texts by Topic,"True/False

Penguins live in cold places with lots of snow. They slide on their bellies across the ice. Flamingos live in warm places with shallow water. They stand on one leg and eat tiny shrimp.
Penguins and flamingos live in the same kind of place.
/a/ True
/b/ False

Justification:
The correct answer is /b/ False because penguins live in cold, snowy places and flamingos live in warm, wet places.

MCQ with Passage

Camels live in the hot desert. They have long eyelashes to keep sand out of their eyes. Polar bears live in freezing places. .

What is one way camels and polar bears are different?
/a/ Camels live in the heat and polar bears live in the cold
/b/ Both animals have wings to fly

Justification:
The correct answer is /a/ Camels live in the heat and polar bears live in the cold.

MCQ (2 Options)

A dolphin breathes air through a blowhole and lives in the ocean. A shark also lives in the ocean, but it uses gills to breathe.

What is one way the dolphin and the shark are different?
/a/ The dolphin uses a blowhole and the shark uses gills
/b/ They both live on land

Justification:
The correct answer is /a/ The dolphin uses a blowhole and the shark uses gills.

Sorting Question

Kangaroos carry their babies in pouches and hop across land. Frogs lay eggs in the water and swim using their legs. Both animals can jump, but they live and grow in different ways.

Put the facts in the right group:
Facts: Carries babies in a pouch, Lays eggs in water, Hops on land, Swims with legs

Kangaroo: Carries babies in a pouch, Hops on land
Frog: Lays eggs in water, Swims with legs

Justification:
The kangaroo facts tell how it moves and carries babies and frog facts show how it grows and lives in water.",,"True / False, MCQ with two options, Sorting, MCQ With Passage"
Reading: Informational Text,Read & Understand Informational Texts,"MCQ with Short Passage

Passage:
Ants are small insects that live in groups. They build tunnels underground and work together to find food. Ants carry crumbs and seeds back to their homes to feed the colony.

Question:
What is this text mostly about?
/a/ How ants live and work
/b/ How to plant a seed

Justification:
The correct answer is /a/ How ants live and work because the passage gives facts about where ants live and how they find food together.",,MCQ With Passage
Reading: Literature,Key Details in Stories,"MCQ with Passage
Passage Title: Ben’s New Boots
Ben got new yellow boots for his birthday. He wore them outside and jumped in every puddle he could find. His dog, Spot, followed him and got all wet. Ben laughed and splashed some more.

Question:
What did Ben do with his new boots?

Options:
a- He cleaned the house
b- He wore them to jump in puddles
c- He gave them to his dog
d- He wore them to bed

Correct Answer:
b- He wore them to jump in puddles

Justification:
The story says Ben wore his new yellow boots outside and jumped in puddles. It does not say he cleaned the house, gave them to his dog, or wore them to bed.  

True/False

Sam went to the park with his dog. They played fetch and ran in the grass.
Sam took his cat to the park.
/a/ True
/b/ False
Justification:
The correct answer is /b/ False because the story says Sam went to the park with his dog, not a cat.

Drag and Drop 

 Mia picked flowers and saw a butterfly in the garden. What did Mia do in the garden? The answer is: __________.

Options:
ran, picked flowers, read a book, played soccer, sang

Correct answer is: picked flowers

Sorting Question 

Read the story, then sort what really happened and what did not.

Story:
Lena and her little brother went to the park. They flew a red kite and ate apples on a bench. Then, they saw a dog chasing a squirrel and laughed a lot.

Put the sentences in the right box:
Sentences: They flew a red kite, They saw a dog, They built a snowman, They ate apples

In the Story: They flew a red kite, They saw a dog, They ate apples
Not in the Story: They built a snowman

Justification:
The sentence “They built a snowman” is not in the story. ",,"MCQ With Passage, True / False, Drag and Drop, Sorting"
Reading: Literature,"Story Questions: Who, What, Why","True/False

“Why” questions ask us for a place.
/a/ True
/b/ False
Justification:
The correct answer is /b/ False because “Why” asks for a reason, not a place. “Where” asks for a place.

Mcq with 2 Options

Which question word asks about a person?
/a/ Who 
/b/ When
Justification:
The correct answer is /a/ Who because “Who” questions are about people, not time.

Sorting Question

Help Detective Dot match the question words to what they ask for!

Put the words in the right group:
Words: Who, When, Where, What
Ask about people: Who
Ask about time/place: When, Where
Ask about things/actions: What

Justification:
“Who” asks about people, “When” asks about time, “Where” asks about place, and “What” asks about things or actions.

Drag and Drop

This question word asks for a reason, the word is: __________.

Options: Why, Who, What
Correct answer is: Why
We use the word ""why"" when we want to know the reason for something.

Multiple Choice with Passage

Passage:
Max was late for school. He ran all the way there. When he got to class, his hair was messy!

Question:
What question asks for the reason Max was running?
/a/ Why
/b/ Where

Justification:
The correct answer is /a/ Why because “Why” asks for a reason — and Max was running because he was late.","True/False
The question word “What”  ask us to name something.
/a/ True
/b/ False

Justification:
The correct answer is /a/ True because “what” questions help us name or identify people, places, or things.

Sample 1 for MCQ's with 2 options is also good but here are some more 
Mcq with 2 Options
What do “who” questions ask about?
/a/ A place
/b/ A person 
Justification:
The correct answer is /b/ False because “Why” asks for a reason, not a place. “Where” asks for a place.

MCQ'S with 2 options 
Question:
What do “why” questions help us find?
/a/ A reason
/b/ A time

Answer: /a/ A reason
Justification: “Why” questions ask for the reason something happens, not the time.

Sorting Questions
Sort/put the question words into the right categories.
Question Words:   Who, Why, What
 Ask about people  ""Who""    
 Ask about people/things    "" What""
Ask about reasons   ""Why""
 Justification:   “Who” asks about people, “What” asks about things, ideas, or actions,  “Why” asks for a reason.
     *Only have to use ""What, Why and Who"" question words that's why this sample is provided.

Multiple Choice with Short Passage 
Passage 
Lila lost her red ball in the park. She looked behind the trees and near the bench. Then she asked her brother to help. He found the ball under the swing.

Question 1: Who helped Lila find her ball?
/a/ Her friend
/b/ Her brother

Answer: /b/ Her brother
Justification: The passage says, “She asked her brother to help. He found the ball under the swing.”

Question 2: What color was the ball?
/a/ Red
/b/ Blue

Answer: /a/ Red
Justification: The passage says, “Lila lost her red ball in the park.”

Question 3:
Which question word will be used to ask for the reason ""Max was running""?
/a/ Why
/b/ Where

Justification:
The correct answer is /a/ Why because “Why” asks for a reason — Why was Max running?  Max was running because he was late.","True / False, MCQ with two options, Sorting, Drag and Drop, MCQ With Passage"
Reading: Literature,Story Questions: Literal or Inferred?,"Sorting Question 

Some questions can be answered by reading the words in the story. Some questions need you to think. Can you sort them?

Put the questions in the right group:
Questions: What color was the dog’s collar?, How did the boy feel when he lost his toy?, Where did the story happen?, Why did the girl share her snack?

Answer Found in Text: What color was the dog’s collar?, Where did the story happen?
Think and Answer: How did the boy feel when he lost his toy?, Why did the girl share her snack?

Justification:
“Color” and “place” are right in the story.

True/False

""What did the girl eat for lunch?"" is a question that can be answered by reading the text.
/a/ True
/b/ False
Justification:
The correct answer is /a/ True because this is a text-based question — the story can tell us exactly what she ate.","True/False
Question:
Inferred questions can be answered by copying words from the story.
/a/ True
/b/ False

Answer: /b/ False
Justification: Inferred questions require the reader to think beyond the exact words and use clues to figure out the answer.

Question:
Literal questions always have answers that are written right in the text.
/a/ True
/b/ False

Answer: /a/ True
Justification: Literal questions ask about facts or details that are directly stated in the text.

Sorting Question
Sort each question into the correct category from the following:
Literal Question
Inferred Question

Question
What did Max eat for breakfast?
Answer: Literal Question
Justification
The answer is stated directly in the text.

Question
Why do you think Lily didn’t tell the truth?
Answer: Inferred Question.
Justification
The answer requires critical thinking about character motives.","True / False, Sorting"
Reading: Literature,Main Idea & Story Sequence,"Multiple Choice with Passage 

Passage:
Anna had a big box of chalk. She drew a rainbow, a sun, and a house on the sidewalk. Her friends came outside and joined her. Soon, the sidewalk was full of colorful drawings.

Question:
What is the story mostly about?
/a/ Drawing with chalk
/b/ Cleaning the sidewalk

Justification:
The correct answer is /a/ Drawing with chalk because the whole story is about Anna and her friends drawing with chalk outside.

True/False 

Stories usually have a beginning, middle, and end.
/a/ True
/b/ False
Justification:
The correct answer is /a/ True because stories are often told in order, starting at the beginning and ending with what happened last.

Drag and Drop

The story is: Sam woke up. He ate cereal. Then he got dressed. What happened first? The answer is: __________.

Options: got dressed, ate cereal, woke up, brushed teeth, ran outside

Correct answer is: woke up",,"Drag and Drop, True / False, MCQ With Passage"
Reading: Literature,Draw Conclusions from Stories,"Multiple Choice with Passage 
Passage:
Ben looked out the window and saw gray clouds. He put on his boots and grabbed his umbrella. Then, he ran outside.

Question:
What can you tell is happening in the story?
/a/ It’s going to rain
/b/ Ben is going to the beach

Justification:
The correct answer is /a/ It’s going to rain because Ben wears boots and takes an umbrella when he sees gray clouds.

mcq with two options
The girl hugged her mom and smiled.
What can we guess from this?
/a/ She is happy
/b/ She is tired

Justification:
The correct answer is /a/ She is happy because hugging and smiling show she feels good.

True/False
If a boy is crying and hiding his toy, we can guess he is feeling proud.
/a/ True
/b/ False
Justification:
The correct answer is /b/ False because crying and hiding something usually show he is sad or upset, not proud.",,"MCQ With Passage, MCQ with two options, True / False"
Reading: Literature,Understand Stories with Clues,"Sorting Question

The Story Detectives need help! Can you sort the words into who is in the story and where the story happens?

Put the words in the right box:
Words: forest, teacher, playground, dog, park, cat

Characters: teacher, dog, cat
Settings: forest, playground, park

Justification:
People and animals in the story are characters and places where the story happens are settings.

 Mcq with two options 
The girl found a lost puppy. Then she gave it water and built it a bed.
What did the girl do first?
/a/ She gave the puppy water
/b/ She found the puppy 

Justification:
The correct answer is /b/ She found the puppy because the story says she found it before she gave it water.
 
MCQ options with Images 
Question:
The story shows a boy falling off his bike.
Choose the picture that comes next in the story.

Options:
image_placeholder [a bandage on the boy’s knee] 
image_placeholder [a dog sleeping in the grass]

Justification:
The correct answer is [a bandage on the boy’s knee] because it shows what likely happened after he fell. .

Multiple Choice with Passage 
Passage:
Lila saw her friend crying on the bench. She sat next to her and gave her a tissue.
Why did Lila sit next to her friend?
/a/ To help her friend 
/b/ To get a snack

Justification:
The correct answer is /a/ To help her friend because the story shows Lila noticed her friend was sad and wanted to comfort her.",,"Timeline, Sorting, MCQ With Passage, MCQ with two options, MCQ Options as Images"
Reading: Literature,Describe Story Characters & Settings,"True/False

Lena walked into the forest and sat by a tall tree. She took out her book and began to read.
The setting of this story is a classroom.
/a/ True
/b/ False

Justification:
The correct answer is /b/ False because the story says Lena is sitting by a tree in the forest, not in a classroom.

MCQ (2 Options)

Max put on his raincoat and boots. He stepped outside and opened his umbrella.
What is the setting of this story?
/a/ In the rain
/b/ In a grocery store

Justification:
The correct answer is /a/ In the rain because the story tells us Max is wearing a raincoat and using an umbrella.

MCQ with Passage

Passage:
Ellie loved music. She played her violin every day after school. One day, she heard a strange sound from the attic. When she went to look, she found her little brother trying to play her violin with a spoon!

Question:
Who is the main character in this story?
/a/ Ellie
/b/ Her brother

Justification:
The correct answer is /a/ Ellie because she is the one who plays music, finds the sound, and takes action in the story.

Sorting Question

Story:
Jamal went to the beach with his family. He built a big sandcastle, played in the water, and collected shells. At the end of the day, they watched the sunset together.

Put the story parts in the right order:
Story Parts: Played in the water, Watched the sunset, Built a sandcastle, Collected shells

Beginning: Built a sandcastle
Middle: Played in the water, Collected shells
End: Watched the sunset

Justification:
The beginning shows what Jamal did first, the middle shows the main activities, and the end tells how the day finished.",,"True / False, MCQ with two options, Drag and Drop, MCQ With Passage"
